Question,Response
다른 증상이 있나요,더 이상 증상이 없으시면 건강을 잘 챙기시고 필요할 때 다시 상담해 주세요.
목이 아플 때, 따뜻한 차를 마셔보세요.,목이 아플 때 따뜻한 차를 마셔보세요. 충분한 휴식도 필요합니다.
설사를 해요,설사 증상이 있다면 물을 충분히 마시고, 소화가 잘 되는 음식을 드세요.
배탈이 났어요,배탈이 났다면 음식 섭취를 줄이고 물을 충분히 마셔보세요.
코피가 나요,코피가 나면 고개를 숙이고 코를 살짝 잡아 압박해보세요.
눈이 가려워요,눈이 가렵다면 차가운 물로 눈을 씻어보세요. 만약 증상이 심하면 안과를 방문하세요.
목소리가 안 나와요,목소리가 안 나온다면 목을 쉬게 하고 따뜻한 물을 마셔보세요.
알레르기 반응이 있어요,알레르기 반응이 있다면 항히스타민제를 복용하고, 증상이 심하면 병원을 방문하세요.
피부가 건조해요,피부가 건조하면 보습제를 자주 바르고, 물을 충분히 마셔보세요.
식욕이 없어요,식욕이 없을 때는 가벼운 음식을 조금씩 자주 드세요.
허리가 아파요,허리가 아프면 무리하지 말고 휴식을 취하세요. 필요하면 의사와 상담하세요.
목이 붓고 아파요,목이 붓고 아플 때는 따뜻한 소금물로 가글을 해보세요.
귀가 먹먹해요,귀가 먹먹할 때는 하품을 하거나 삼켜보세요. 증상이 계속되면 의사와 상담하세요.
눈이 빨개요,눈이 빨갛다면 차가운 물로 씻어보세요. 증상이 심하면 안과를 방문하세요.
코가 간지러워요,코가 간지러울 때는 알레르기 약을 복용해보세요.
눈물이 나요,눈물이 계속 난다면 차가운 물로 눈을 씻어보세요.
피부가 가려워요,피부가 가려울 때는 보습제를 발라보세요.
입안이 헐었어요,입안이 헐었을 때는 염증 완화제를 사용해보세요.
손발이 저려요,손발이 저릴 때는 가볍게 스트레칭을 해보세요.
어깨가 결려요,어깨가 결릴 때는 따뜻한 찜질을 해보세요.
목덜미가 아파요,목덜미가 아플 때는 가볍게 스트레칭을 해보세요.
발목이 삐었어요,발목이 삐었을 때는 얼음찜질을 하고 휴식을 취하세요.
무릎이 아파요,무릎이 아플 때는 무리하지 말고 휴식을 취하세요.
발바닥이 아파요,발바닥이 아플 때는 발을 높이 올리고 휴식을 취하세요.
팔이 저려요,팔이 저릴 때는 가볍게 스트레칭을 해보세요.
손목이 아파요,손목이 아플 때는 휴식을 취하고 필요하면 진통제를 복용하세요.
발이 붓고 아파요,발이 붓고 아플 때는 발을 높이 올리고 휴식을 취하세요.
가슴이 답답해요,가슴이 답답할 때는 깊게 숨을 들이마시고 내쉬어보세요.
배가 빵빵해요,배가 빵빵할 때는 가볍게 걷거나 스트레칭을 해보세요.
소화가 안 돼요,소화가 안 될 때는 소화제를 복용하고 가볍게 걷는 것이 도움이 됩니다.
속이 더부룩해요,속이 더부룩할 때는 따뜻한 차를 마셔보세요.
가래가 나와요,가래가 나올 때는 따뜻한 물을 자주 마셔보세요.
눈이 뻑뻑해요,눈이 뻑뻑할 때는 인공눈물을 사용해보세요.
귀가 아파요,귀가 아플 때는 따뜻한 찜질을 해보세요.
코가 막혀요,코가 막힐 때는 따뜻한 증기를 마셔보세요.
몸이 무거워요,몸이 무거울 때는 충분한 휴식을 취하세요.
소변이 자주 나와요,소변이 자주 나올 때는 물을 많이 마셔보세요.
입맛이 없어요,입맛이 없을 때는 가벼운 음식을 조금씩 자주 드세요.
근육이 뭉쳤어요,근육이 뭉쳤을 때는 가볍게 스트레칭을 해보세요.
땀이 많이 나요,땀이 많이 날 때는 시원한 곳에서 휴식을 취하세요.
손톱이 부러졌어요,손톱이 부러졌을 때는 깨끗하게 정리하고 손톱강화제를 사용해보세요.
피부가 따가워요,피부가 따가울 때는 차가운 물로 씻어보세요.
손이 떨려요,손이 떨릴 때는 충분한 휴식을 취하세요.
눈이 침침해요,눈이 침침할 때는 잠시 눈을 감고 쉬어보세요.
입이 바짝 말라요,입이 바짝 마를 때는 물을 자주 마셔보세요.
목소리가 쉬었어요,목소리가 쉬었을 때는 목을 쉬게 하고 따뜻한 물을 마셔보세요.
다리가 저려요,다리가 저릴 때는 가볍게 스트레칭을 해보세요.
무릎이 붓고 아파요,무릎이 붓고 아플 때는 얼음찜질을 해보세요.
허리가 아프고 뻣뻣해요,허리가 아프고 뻣뻣할 때는 가볍게 스트레칭을 해보세요.
코가 막히고 간지러워요,코가 막히고 간지러울 때는 알레르기 약을 복용해보세요.
목이 쉬고 아파요,목이 쉬고 아플 때는 따뜻한 차를 마셔보세요.
입술이 텄어요,입술이 텄을 때는 립밤을 발라보세요.
속이 메스꺼워요,속이 메스꺼울 때는 물을 조금씩 자주 마셔보세요.
등이 아파요,등이 아플 때는 가볍게 스트레칭을 해보세요.
허리가 시큰거려요,허리가 시큰거릴 때는 따뜻한 찜질을 해보세요.
배가 꾸룩거려요,배가 꾸룩거릴 때는 가볍게 걷거나 소화제를 복용해보세요.
손가락이 부었어요,손가락이 부었을 때는 손을 높이 올리고 휴식을 취하세요.
목이 따갑고 아파요,목이 따갑고 아플 때는 따뜻한 차를 마셔보세요.
속이 더부룩하고 아파요,속이 더부룩하고 아플 때는 따뜻한 차를 마시고 휴식을 취하세요.
팔이 뻐근해요,팔이 뻐근할 때는 가볍게 스트레칭을 해보세요.
손목이 뻐근해요,손목이 뻐근할 때는 휴식을 취하고 스트레칭을 해보세요.
발이 저려요,발이 저릴 때는 가볍게 스트레칭을 해보세요.
피부가 가렵고 발진이 있어요,피부가 가렵고 발진이 있을 때는 보습제를 발라보세요.
눈이 아프고 피곤해요,눈이 아프고 피곤할 때는 잠시 눈을 감고 쉬어보세요.
